ESTU,REGISTRO,CUES,CCAA,PROV,MUN,TAMUNI,CAPITAL,ENTREV,TIPO_TEL,SEXO,EDAD,P0,ADQUINAC,PAISNAC,PAISNAC2,P1,P2_1,P2_2,P3,P4,P5,P6,P7,ECOPER,ECOESP,PESPANNA1,PESPANNA2,PESPANNA3,PPERSONAL1,PPERSONAL2,PPERSONAL3,PREFPTE,PROBVOTO,INTENCIONG,INTENCIONGALTER,SIMPATIA,ESCIDEOL,LIDERESCONOCE_1,LIDERESCONOCE_2,LIDERESCONOCE_3,LIDERESCONOCE_4,VALORALIDERES_1,VALORALIDERES_2,VALORALIDERES_3,VALORALIDERES_4,CONFIANZAPTE,CONFIANZAOPOSIC,CONOMINIS_1,CONOMINIS_2,CONOMINIS_3,CONOMINIS_4,CONOMINIS_5,CONOMINIS_6,CONOMINIS_7,CONOMINIS_8,CONOMINIS_9,CONOMINIS_10,CONOMINIS_11,CONOMINIS_12,CONOMINIS_13,CONOMINIS_14,CONOMINIS_15,CONOMINIS_16,CONOMINIS_17,CONOMINIS_18,CONOMINIS_19,CONOMINIS_20,CONOMINIS_21,CONOMINIS_22,VALMINIS_1,VALMINIS_2,VALMINIS_3,VALMINIS_4,VALMINIS_5,VALMINIS_6,VALMINIS_7,VALMINIS_8,VALMINIS_9,VALMINIS_10,VALMINIS_11,VALMINIS_12,VALMINIS_13,VALMINIS_14,VALMINIS_15,VALMINIS_16,VALMINIS_17,VALMINIS_18,VALMINIS_19,VALMINIS_20,VALMINIS_21,VALMINIS_22,PARTICIPACIONG,RECUVOTOG,CERCANIA,P23_1,P23_2,ESCUELA,NIVELESTENTREV,RELIGION,PRACTICARELIG6,ECIVIL,SITLAB,RELALAB,CNO11,INGRESHOG,CLASESOCIAL,SINCERIDAD,IA_I501,IA_I502,IA_I503,IA_I504,IA_I505,IA_I506,IA_I507,IA_I508,IA_I509,IA_I510,IA_I511,IA_I512,IA_I513,IA_I514,IA_I515,IA_I516,IA_I517,IA_I518,IA_I519,IA_I520,IA_I521,IA_I522,IA_I523,IA_I524,IA_I525,IA_I526,IA_I528,IA_I529,IA_I530,IA_I531,IA_I532,IA_I533,IA_I534,IA_I535,IA_I536,IA_I537,IA_I538,IA_I539,IA_I540,IA_I541,IA_I542,IA_I543,IA_OBS1,IA_OBS2,IA_E1_DIA,IA_E1_MES,IA_E1_ANYO,IA_E2,IA_E3,IA_E4,IA_VALIDA,IA_APLAZADA,IA_MODIFICADA,IA_SUPERVISADA,IA_C2,IA_C2A,IA_C2B_1,IA_C2B_2,IA_C2B_3,IA_C2B_4,IA_C2B_5,IA_C2B_6,IA_C2B_7,IA_C2B_8,IA_C2B_9,IA_C2B_10,IA_C2B_11,IA_C2B_12,IA_C2B_13,IA_C2B_14,IA_C2B_15,IA_C2B_16,IA_C2B_17,IA_C2B_18,IA_C2B_19,IA_C2B_20,IA_C2B_21,IA_C2B_22,IA_C2B_23,IA_C2B_24,IA_C2B_25,IA_C3,IA_C4,PREFPTER,INTENCIONGR,INTENCIONGALTERR,SIMPATIAR,VOTOSIMG,RECUVOTOGR,RECUERDO,CERCANIAR,ESTUDIOS,CNO11R,CLASESUB,PESO,PESOCCAA,CHALLENGER,NIVELESTAGR,CLASESUBAGR,AntiEliteEstablishment,CHALLENGERDERIZQOTROS
3468,114885,3373,1,29,0,4,3,0,2,1,43,1,1,1,,3,13,4,3,5,2,2,5,2,5,24,45,51,51,8,35,8,10,2,3,,10,1,1,1,1,1,6,1,5,4,2,1,1,1,7,1,1,1,1,1,1,1,7,1,1,1,7,1,1,1,7,7,7,3,3,2,,3,1,4,3,1,2,1,,2,1,2,,3,5,3,,,,1,2,2,1,,3,8,1,4,1,1,1,1,2,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,25,0,0,0,0,30,0,,,3,7,24,3,22,3,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,2,3,,2,2,2,2,6,1,2,0.61504,0.96495,1,3,2,3,1
3468,160673,3728,3,33,24,5,3,0,2,2,61,1,1,1,,2,13,97,9,2,9,2,5,5,5,50,76,11,20,1,6,96,5,28,8995,,5,1,1,1,1,1,2,1,2,4,4,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,28,2,,3,9,4,,5,4,,,5,96,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,16,0,,,4,7,24,4,25,3,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,28,8995,,28,3,3,28,6,16,6,0.34297,0.6164,1,3,,3,1
3468,100009,3139,4,7,0,3,3,0,2,1,29,1,1,1,,1,11,1,1,1,2,2,4,2,4,8,16,13,12,7,999,97,10,9977,,1,5,1,1,1,1,5,98,98,2,1,3,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,98,,,,,,,,,,,,,,,,,1,9977,1,7,,3,4,3,3,2,4,,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,7,24,3,26,2,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,9977,,1,9977,9977,9977,1,3,16,1,5.13365,1.15004,1,2,1,3,1
3468,56114,2140,12,36,57,5,3,0,2,2,44,1,1,1,,1,13,14,9,1,2,2,5,3,5,24,11,50,996,21,70,3,10,3,28,,10,1,1,1,1,1,3,1,7,4,4,7,1,1,1,7,1,1,1,1,7,1,7,7,1,7,7,1,1,1,7,1,7,,1,1,3,,1,1,1,1,,1,,,1,,,1,1,1,,1,,1,9999,3,,,3,98,9,,2,1,1,4,8,12,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,49,0,1,0,0,49,0,,,2,7,24,2,24,2,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,28,,3,9999,9999,3,9,4,5,1.80808,0.66526,0,,3,3,0
3468,78838,2568,13,28,79,7,1,0,2,1,34,1,1,1,,2,11,96,4,5,1,2,5,2,5,35,70,50,35,50,70,3,10,3,28,,8,1,1,1,1,1,6,1,8,4,3,1,1,1,7,1,1,1,1,1,1,1,7,1,1,1,7,1,1,7,7,1,7,1,1,1,,1,1,1,1,1,1,1,,3,1,1,,1,4,,,1,,1,3,3,1,,3,12,1,5,1,1,1,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,,,2,7,24,2,17,4,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,28,,3,3,3,3,6,1,2,0.5203,0.74476,0,3,2,3,0
3468,46472,1812,1,4,13,5,2,0,2,1,62,1,1,1,,2,11,1,1,2,2,2,1,2,5,13,50,22,21,70,52,2,10,2,8996,,5,1,1,1,1,1,5,6,2,4,2,7,7,1,7,7,1,1,1,1,7,1,7,7,7,7,7,1,1,7,1,7,7,,,4,,,1,3,98,1,,1,,,,,,3,5,,98,,,1,2,5,1,,3,13,1,3,1,1,2,1,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,,,2,7,24,2,28,2,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,8996,,2,2,2,5,6,1,2,0.39941,0.77293,1,3,2,3,1
3468,92724,2956,1,4,0,2,3,0,2,1,78,1,1,1,,8,11,2,2,98,1,2,2,4,4,16,998,999,998,999,999,98,10,2,3,,10,1,1,1,1,1,9,7,8,4,2,7,7,1,7,7,1,7,7,1,7,7,7,1,7,7,7,7,1,7,7,7,7,,,8,,,9,,,9,,,,8,,,,,9,,,,,1,2,2,1,,3,4,9,,4,2,,,6,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,8,0,,,3,7,24,3,25,2,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,2,3,,2,2,2,2,3,12,8,1.88494,1.60293,1,2,,3,1
3468,13825,567,1,11,20,5,3,0,2,1,62,1,1,1,,3,11,4,2,1,1,2,1,3,4,24,30,6,58,20,16,98,10,2,3,,5,1,1,1,1,4,5,3,5,4,1,1,1,1,7,7,1,1,7,1,7,1,7,1,1,7,7,1,1,1,7,7,7,3,4,4,,,2,1,,1,,1,,1,1,,,2,5,1,,,,1,2,2,1,,3,6,1,4,2,4,,,6,6,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,26,1,,,1,7,24,1,22,2,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,2,3,,2,2,2,2,4,16,5,0.90596,0.77293,1,2,3,3,1
3468,161603,3773,1,14,0,2,3,0,2,1,28,1,1,1,,2,11,3,3,5,2,2,5,2,5,25,76,15,8,18,999,97,0,9997,,8995,99,1,1,1,1,1,1,1,1,4,4,1,1,1,7,1,1,1,1,1,7,1,7,1,1,1,7,1,1,7,7,1,7,1,1,1,,1,1,1,1,1,,1,,1,1,1,,1,2,,,1,,1,8995,15,1,,3,7,6,,2,1,1,3,2,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,30,0,,,4,7,24,4,15,3,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,9997,,8995,8995,8995,8995,8995,5,3,2,0.72752,1.19948,1,2,2,3,1
3468,4551,196,1,18,87,5,2,0,1,1,26,1,1,1,,2,11,4,2,2,1,2,2,2,5,24,8,998,1,7,998,2,10,2,3,,98,1,1,1,1,1,9,4,6,4,2,7,7,1,7,7,1,1,7,1,7,1,7,7,1,7,7,1,1,7,7,7,7,,,7,,,4,6,,5,,3,,,7,,,5,6,,,,,1,2,2,1,,3,7,2,2,2,1,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2,7,24,2,19,2,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,2,2,2,2,5,3,2,0.50616,0.77545,1,2,2,3,1
3468,25274,1026,1,23,0,4,3,0,2,1,37,1,1,1,,1,11,97,4,4,2,2,5,1,4,8,25,999,49,1,7,97,1,9997,,15,99,1,1,1,1,1,2,1,1,4,3,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,7,7,1,2,1,1,1,3,1,1,1,1,,1,2,3,1,1,1,1,2,1,,,1,2,,15,,9,3,11,2,3,2,1,1,2,1,96,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,,,1,7,24,1,17,3,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,9997,,8995,8995,,9997,8995,6,2,6,0.61504,0.96495,1,3,,3,1
