Nomenclátor: Población del Padrón Continuo por Unidad Poblacional a 1 de enero;;;;;;;
;;;;;;;
;;Año 2023;;;Año 2004;;
Provincia;Municipio;Población total;Hombres;Mujeres;Población total;Hombres;Mujeres
46 Valencia/València;001 Ademuz;1004;538;466;1140;586;554
46 Valencia/València;002 Ador;1699;890;809;1346;686;660
46 Valencia/València;003 Atzeneta d'Albaida;1161;583;578;1344;701;643
46 Valencia/València;004 Agullent;2400;1193;1207;2352;1153;1199
46 Valencia/València;005 Alaquàs;29825;14492;15333;29279;14671;14608
46 Valencia/València;006 Albaida;6102;3013;3089;6257;3108;3149
46 Valencia/València;007 Albal;17024;8501;8523;13534;6795;6739
46 Valencia/València;008 Albalat de la Ribera;3411;1719;1692;3444;1719;1725
46 Valencia/València;009 Albalat dels Sorells;4158;2042;2116;3493;1707;1786
46 Valencia/València;010 Albalat dels Tarongers;1428;749;679;799;418;381
46 Valencia/València;011 Alberic;10815;5387;5428;9634;4787;4847
46 Valencia/València;012 Alborache;1389;727;662;948;484;464
46 Valencia/València;013 Alboraia/Alboraya;25792;12547;13245;20001;9973;10028
46 Valencia/València;014 Albuixech;4343;2102;2241;3443;1706;1737
46 Valencia/València;015 Alcàsser;10575;5277;5298;7992;4050;3942
46 Valencia/València;016 Alcàntera de Xúquer;1414;708;706;1380;680;700
46 Valencia/València;017 Alzira;46421;22657;23764;41920;20564;21356
46 Valencia/València;018 Alcublas;635;334;301;794;403;391
46 Valencia/València;019 Alcúdia, l';12197;5999;6198;10654;5250;5404
46 Valencia/València;020 Alcúdia de Crespins, l';5361;2631;2730;4786;2431;2355
46 Valencia/València;021 Aldaia;33376;16712;16664;26442;13241;13201
46 Valencia/València;022 Alfafar;21879;10679;11200;19655;9805;9850
46 Valencia/València;023 Alfauir;477;245;232;381;192;189
46 Valencia/València;024 Alfara de la Baronia;611;304;307;487;230;257
46 Valencia/València;025 Alfara del Patriarca;3455;1602;1853;2779;1389;1390
46 Valencia/València;026 Alfarp;1618;828;790;1369;690;679
46 Valencia/València;027 Alfarrasí;1183;581;602;1272;614;658
46 Valencia/València;028 Algar de Palancia;527;281;246;461;236;225
46 Valencia/València;029 Algemesí;27438;13614;13824;26192;12991;13201
46 Valencia/València;030 Algímia d'Alfara;1109;547;562;959;484;475
46 Valencia/València;031 Alginet;14442;7294;7148;12587;6402;6185
46 Valencia/València;032 Almàssera;7504;3668;3836;6556;3169;3387
46 Valencia/València;033 Almiserà;279;137;142;262;123;139
46 Valencia/València;034 Almoines;2519;1266;1253;1668;824;844
46 Valencia/València;035 Almussafes;8996;4476;4520;7459;3722;3737
46 Valencia/València;036 Alpuente;667;366;301;861;455;406
46 Valencia/València;037 Alqueria de la Comtessa, l';1523;742;781;1462;708;754
46 Valencia/València;038 Andilla;311;208;103;384;226;158
46 Valencia/València;039 Anna;2593;1298;1295;2775;1412;1363
46 Valencia/València;040 Antella;1114;542;572;1498;746;752
46 Valencia/València;041 Aras de los Olmos;381;213;168;375;211;164
46 Valencia/València;042 Aielo de Malferit;4601;2323;2278;4320;2144;2176
46 Valencia/València;043 Aielo de Rugat;163;88;75;207;109;98
46 Valencia/València;044 Ayora;5223;2573;2650;5508;2799;2709
46 Valencia/València;045 Barxeta;1595;818;777;1619;844;775
46 Valencia/València;046 Barx;1476;767;709;1423;696;727
46 Valencia/València;047 Bèlgida;632;315;317;719;354;365
46 Valencia/València;048 Bellreguard;4811;2402;2409;3893;1946;1947
46 Valencia/València;049 Bellús;306;156;150;383;190;193
46 Valencia/València;050 Benagéber;168;100;68;177;85;92
46 Valencia/València;051 Benaguasil;11877;6043;5834;9618;4879;4739
46 Valencia/València;052 Benavites;674;327;347;649;319;330
46 Valencia/València;053 Beneixida;655;313;342;609;290;319
46 Valencia/València;054 Benetússer;15879;7742;8137;14023;6953;7070
46 Valencia/València;055 Beniarjó;1872;942;930;1432;707;725
46 Valencia/València;056 Beniatjar;217;118;99;240;118;122
46 Valencia/València;057 Benicolet;599;291;308;517;267;250
46 Valencia/València;058 Benifairó de les Valls;2320;1127;1193;1907;933;974
46 Valencia/València;059 Benifairó de la Valldigna;1554;767;787;1692;846;846
46 Valencia/València;060 Benifaió;11984;5895;6089;12254;6080;6174
46 Valencia/València;061 Beniflá;484;236;248;238;123;115
46 Valencia/València;062 Benigànim;5716;2907;2809;5720;2900;2820
46 Valencia/València;063 Benimodo;2279;1154;1125;2019;1054;965
46 Valencia/València;064 Benimuslem;665;358;307;583;297;286
46 Valencia/València;065 Beniparrell;2074;1050;1024;1780;924;856
46 Valencia/València;066 Benirredrà;1571;742;829;1460;691;769
